Rk,Player,Age,Team,First,Pts Won,Pts Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,2P%,eFG%
1,Shai Gilgeous-Alexander,26,OKC,71,913,1000,913,76,34.2,32.7,5.0,6.4,1.7,1.0,51.9,37.5,89.8,16.7,0.309,57.1,56.89999999999999
2,Nikola JokiÄ‡,29,DEN,29,787,1000,787,70,36.7,29.6,12.7,10.2,1.8,0.6,57.6,41.7,80.0,16.4,0.307,62.7,62.7
3,Giannis Antetokounmpo,30,MIL,0,470,1000,470,67,34.2,30.4,11.9,6.5,0.9,1.2,60.1,22.2,61.7,11.5,0.241,62.0,60.7
4,Jayson Tatum,26,BOS,0,311,1000,311,72,36.4,26.8,8.7,6.0,1.1,0.5,45.2,34.300000000000004,81.39999999999999,9.5,0.174,55.900000000000006,53.7
5,Donovan Mitchell,28,CLE,0,74,1000,74,71,31.4,24.0,4.5,5.0,1.3,0.2,44.3,36.8,82.3,7.6,0.163,51.2,53.1
6,LeBron James,40,LAL,0,16,1000,16,70,34.9,24.4,7.8,8.2,1.0,0.6,51.3,37.6,78.2,7.7,0.152,57.4,57.1
7T,Cade Cunningham,23,DET,0,12,1000,12,70,35.0,26.1,6.1,9.1,1.0,0.8,46.9,35.6,84.6,5.9,0.115,51.5,52.1
7T,Anthony Edwards,23,MIN,0,12,1000,12,79,36.3,27.6,5.7,4.5,1.2,0.6,44.7,39.5,83.7,8.4,0.14,50.1,54.7
9,Stephen Curry,36,GSW,0,2,1000,2,70,32.2,24.5,4.4,6.0,1.1,0.4,44.8,39.7,93.3,7.9,0.168,53.400000000000006,57.2
10T,Jalen Brunson,28,NYK,0,1,1000,1,65,35.4,26.0,2.9,7.3,0.9,0.1,48.8,38.3,82.1,8.3,0.172,53.900000000000006,55.1
10T,James Harden,35,LAC,0,1,1000,1,79,35.3,22.8,5.8,8.7,1.5,0.7,41.0,35.2,87.4,8.3,0.143,47.2,50.1
10T,Evan Mobley,23,CLE,0,1,1000,1,71,30.5,18.5,9.3,3.2,0.9,1.6,55.7,37.0,72.5,9.0,0.2,62.1,60.4
